iter	Passed	Remaining
1284	171230	3559860
1285	171390	3560293
1286	171555	3560809
1287	171715	3561223
1288	171863	3561404
1289	172023	3561829
1290	172173	3562037
1291	172325	3562289
1292	172483	3562662
1293	172662	3563473
1294	172823	3563910
1295	172973	3564111
1296	173132	3564504
1297	173282	3564701
1298	173446	3565202
1299	173598	3565450
1300	173744	3565572
1301	173890	3565691
1302	174046	3566011
1303	174192	3566134
1304	174335	3566199
1305	174486	3566410
1306	174626	3566423
1307	174789	3566875
1308	174940	3567105
1309	175084	3567186
1310	175224	3567171
1311	175365	3567182
1312	175531	3567711
1313	175673	3567749
1314	175816	3567804
1315	175964	3567962
1316	176105	3567983
1317	176259	3568241
1318	176401	3568285
1319	176574	3568945
1320	176725	3569160
1321	176870	3569251
1322	177019	3569433
1323	177188	3569997
1324	177363	3570705
1325	177524	3571101
1326	177669	3571201
1327	177821	3571423
1328	177969	3571569
1329	178143	3572254
1330	178309	3572750
1331	178502	3573795
1332	178670	3574338
1333	178878	3575698
1334	179043	3576174
1335	179199	3576476
1336	179367	3577013
1337	179585	3578560
1338	180106	3586130
1339	180300	3587176
1340	180485	3588039
1341	180655	3588611
1342	180805	3588781
1343	180961	3589077
1344	181118	3589386
1345	181449	3593126
1346	181673	3594769
1347	181887	3596187
1348	182081	3597232
1349	182272	3598190
1350	182424	3598401
1351	182607	3599210
1352	182789	3599998
1353	182986	3601076
1354	183142	3601357
1355	183315	3601959
1356	183508	3602968
1357	183699	3603913
1358	183900	3605071
1359	184170	3607580
1360	184401	3609302
1361	184597	3610356
1362	184782	3611194
1363	185021	3613068
1364	185276	3615269
1365	185483	3616522
1366	185785	3619632
1367	186005	3621128
1368	186491	3627807
1369	186797	3630967
1370	187012	3632343
1371	187206	3633330
1372	187351	3633370
1373	187507	3633598
1374	187628	3633169
1375	187767	3633075
1376	187907	3633019
1377	188043	3632876
1378	188178	3632708
1379	188340	3633058
1380	188481	3633007
1381	188740	3635228
1382	188948	3636463
1383	189174	3638048
1384	189392	3639484
1385	189587	3640456
1386	189725	3640353
1387	189879	3640550
1388	190012	3640336
1389	190171	3640618
1390	190328	3640870
1391	190471	3640856
1392	190645	3641430
1393	190794	3641524
1394	190940	3641565
1395	191066	3641209
1396	191222	3641445
1397	191444	3642914
1398	191636	3643825
1399	191825	3644689
1400	192042	3646061
1401	192705	3655908
1402	192880	3656472
1403	193247	3660690
1404	193382	3660498
1405	193506	3660106
1406	193627	3659658
1407	193759	3659409
1408	194029	3661779
1409	194596	3669721
1410	194779	3670443
1411	194929	3670532
1412	195081	3670657
1413	195219	3670503
1414	195361	3670449
1415	195497	3670274
1416	195628	3669995
1417	195759	3669736
1418	195919	3669998
1419	196245	3673379
1420	196561	3676565
1421	196779	3677913
1422	196962	3678625
1423	197131	3679051
1424	197276	3679024
1425	197788	3685848
1426	198121	3689338
1427	198314	3690211
1428	198603	3692861
1429	198767	3693182
1430	198903	3692984
1431	199035	3692717
1432	199168	3692469
1433	199299	3692186
1434	199419	3691701
1435	199545	3691311
1436	199675	3691004
1437	199806	3690716
1438	199929	3690295
1439	200142	3691515
